instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,fare_amount,passenger_count,distance
1660,3/14/2011,1,0,3,17,0,1,1,1,0.38,0.3939,0.4,0.194,42,229,271,4.5,1,1.031087515
12221,5/29/2012,2,1,5,9,0,2,1,1,0.72,0.6818,0.7,0.2537,26,231,257,16.9,1,8.452786283
11801,5/11/2012,2,1,5,21,0,5,1,1,0.6,0.6061,0.28,0.1045,45,225,270,5.7,2,1.389961429
3839,6/13/2011,2,0,6,20,0,1,1,1,0.64,0.6212,0.44,0.2537,78,253,331,7.7,1,2.800148994
13729,7/31/2012,3,1,7,5,0,2,1,1,0.66,0.6061,0.83,0.1642,5,40,45,5.3,1,1.999784368
17378,12/31/2012,1,1,12,22,0,1,1,1,0.26,0.2727,0.56,0.1343,13,48,61,12.1,1,3.788427984
15219,10/1/2012,4,1,10,7,0,1,1,1,0.44,0.4394,0.77,0.1642,13,470,483,7.5,1,1.556295062
9983,2/25/2012,1,1,2,23,0,6,0,1,0.24,0.197,0.41,0.4179,7,84,91,16.5,1,4.156748779
318,1/14/2011,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,4,155,159,9,1,1.25362493
4998,8/1/2011,3,0,8,3,0,1,1,1,0.7,0.6667,0.79,0.1642,0,4,4,8.9,2,2.850521358
8165,12/11/2011,4,0,12,20,0,0,0,1,0.22,0.2424,0.55,0.1045,10,62,72,5.3,1,1.37500851
13562,7/24/2012,3,1,7,6,0,2,1,1,0.66,0.6061,0.83,0.1343,17,173,190,5.5,3,0
8601,12/30/2011,1,0,12,3,0,5,1,1,0.24,0.2576,0.7,0.1045,0,6,6,4.1,2,0.717992811
3616,6/4/2011,2,0,6,13,0,6,0,1,0.74,0.6515,0.28,0.1343,188,268,456,7,1,2.020017757
13823,8/4/2012,3,1,8,3,0,6,0,1,0.72,0.7121,0.84,0.1343,11,19,30,7.7,2,1.671969302
14072,8/14/2012,3,1,8,12,0,2,1,1,0.78,0.7121,0.49,0.1343,93,207,300,5,1,0
6504,10/3/2011,4,0,10,13,0,1,1,3,0.42,0.4242,0.67,0.1642,16,102,118,12.5,1,2.610593761
1736,3/17/2011,1,0,3,23,0,4,1,1,0.42,0.4242,0.62,0.2836,7,43,50,5.3,1,1.512378868
14690,9/9/2012,3,1,9,6,0,0,0,1,0.52,0.5,0.77,0.194,11,24,35,5.3,1,0.92224114
2274,4/9/2011,2,0,4,14,0,6,0,2,0.36,0.3485,0.81,0.1343,94,118,212,4,1,0.399303882
2374,4/13/2011,2,0,4,19,0,3,1,1,0.44,0.4394,0.62,0.2537,15,160,175,10.5,1,1.687390874
6926,10/21/2011,4,0,10,4,0,5,1,1,0.36,0.3485,0.71,0.1642,0,6,6,11.5,1,2.293189458
7945,12/2/2011,4,0,12,16,0,5,1,1,0.42,0.4242,0.41,0.0896,22,254,276,4.5,1,0.92458589
8144,12/10/2011,4,0,12,23,0,6,0,1,0.2,0.2121,0.47,0.1642,5,61,66,4.9,1,1.404398913
7997,12/4/2011,4,0,12,20,0,0,0,1,0.36,0.3485,0.76,0.1343,8,116,124,6.1,1,1.01809259
4559,7/13/2011,3,0,7,20,0,3,1,1,0.7,0.6667,0.84,0.1642,61,281,342,7.3,3,2.532741532
17104,12/20/2012,4,1,12,10,0,4,1,2,0.32,0.3333,0.66,0,23,138,161,6.5,1,0
10721,3/27/2012,2,1,3,19,0,2,1,1,0.42,0.4242,0.17,0,40,377,417,4.5,3,0.328874061
9379,1/31/2012,1,1,1,16,0,2,1,1,0.54,0.5152,0.26,0.4478,30,277,307,9.3,1,4.074741842
15603,10/17/2012,4,1,10,7,0,3,1,1,0.36,0.3636,0.81,0.1045,15,449,464,4.5,2,0.808406858
13364,7/16/2012,3,1,7,0,0,1,1,3,0.72,0.697,0.79,0.1045,11,32,43,5.5,1,0.872186982
