dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,base_price,distance,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
6/3/2011,2,0,6,15,0,5,1,1,0.7,0.6364,0.28,0.2836,56,156,212,4,1.031087515,4.5,-73.844311,40.721319,-73.84161,40.712278
7/10/2011,3,0,7,8,0,0,0,1,0.72,0.6818,0.66,0,27,65,92,4,8.452786283,16.9,-74.016048,40.711303,-73.979268,40.782004
6/28/2011,3,0,6,23,0,2,1,1,0.7,0.6515,0.7,0.2836,23,58,81,4,1.389961429,5.7,-73.982738,40.76127,-73.991242,40.750562
10/15/2012,4,1,10,10,0,1,1,2,0.6,0.5909,0.73,0.3881,43,125,168,4,2.800148994,7.7,-73.98713,40.733143,-73.991567,40.758092
12/30/2011,1,0,12,1,0,5,1,1,0.26,0.2879,0.65,0.0896,9,11,20,4,1.999784368,5.3,-73.968095,40.768008,-73.956655,40.783762
2/19/2011,1,0,2,11,0,6,0,1,0.44,0.4394,0.16,0.5821,47,76,123,4,3.788427984,12.1,-74.000964,40.73163,-73.972892,40.758233
8/13/2011,3,0,8,0,0,6,0,1,0.68,0.6364,0.51,0.1045,15,69,84,4,1.556295062,7.5,-73.980002,40.751662,-73.973802,40.764842
6/25/2011,3,0,6,21,0,6,0,1,0.68,0.6364,0.51,0.1642,62,140,202,4,4.156748779,16.5,-73.9513,40.774138,-73.990095,40.751048
7/10/2012,3,1,7,1,0,2,1,1,0.7,0.6667,0.74,0.1343,0,15,15,4,1.25362493,9,-74.006462,40.726713,-73.993078,40.731628
7/20/2011,3,0,7,5,0,3,1,1,0.68,0.6364,0.83,0.1045,4,19,23,4,2.850521358,8.9,-73.980658,40.733873,-73.99154,40.758138
2/17/2012,1,1,2,4,0,5,1,2,0.28,0.2727,0.93,0.194,0,1,1,4,1.37500851,5.3,-73.996335,40.737142,-73.980721,40.733559
9/29/2011,4,0,9,14,0,4,1,1,0.68,0.6364,0.51,0.2985,33,134,167,4,0,5.5,0,0,0,0
11/27/2012,4,1,11,4,0,2,1,3,0.3,0.2879,0.81,0.194,0,5,5,4,0.717992811,4.1,-73.991601,40.744712,-73.983081,40.744682
4/26/2011,2,0,4,23,0,2,1,2,0.6,0.5606,0.83,0.2239,7,71,78,4,2.020017757,7,-74.00536,40.728867,-74.008913,40.710907
7/19/2011,3,0,7,23,0,2,1,3,0.72,0.697,0.79,0.1642,19,73,92,4,1.671969302,7.7,-74.001821,40.737547,-73.99806,40.722788
11/30/2011,4,0,11,14,0,3,1,2,0.38,0.3939,0.43,0.3582,13,99,112,4,0,5,0,0,0,0
4/10/2012,2,1,4,1,0,2,1,1,0.42,0.4242,0.5,0.2239,0,9,9,4,2.610593761,12.5,-73.98643,40.760465,-73.98899,40.737075
8/10/2012,3,1,8,5,0,5,1,3,0.7,0.6667,0.84,0.2836,4,29,33,4,1.512378868,5.3,-73.98106,40.73769,-73.994177,40.728412
3/10/2011,1,0,3,10,0,4,1,3,0.4,0.4091,0,0.1642,0,17,17,4,0.92224114,5.3,-73.969505,40.784843,-73.958732,40.783357
12/11/2012,4,1,12,8,0,2,1,2,0.34,0.303,0.61,0.2985,16,708,724,8,0.399303882,4,-73.979815,40.751902,-73.979446,40.755481
11/27/2011,4,0,11,21,0,0,0,1,0.48,0.4697,0.67,0.2836,13,75,88,4,1.687390874,10.5,-73.985382,40.747858,-73.978377,40.76207
8/19/2012,3,1,8,22,0,0,0,2,0.62,0.5909,0.78,0.1642,6,50,56,4,2.293189458,11.5,-73.957954,40.779252,-73.96125,40.758787
3/21/2012,2,1,3,21,0,3,1,1,0.54,0.5152,0.83,0.1045,47,204,251,4,0.92458589,4.5,-73.991707,40.770505,-73.985459,40.763671
2/22/2011,1,0,2,22,0,2,1,1,0.16,0.1515,0.43,0.2537,1,76,77,4,1.404398913,4.9,-74.000632,40.747473,-73.986672,40.740577
12/10/2012,4,1,12,7,0,1,1,2,0.38,0.3939,0.94,0.2537,3,291,294,4,1.01809259,6.1,-73.969622,40.756973,-73.981152,40.759712
11/30/2011,4,0,11,15,0,3,1,1,0.36,0.3333,0.46,0.3284,11,104,115,4,2.532741532,7.3,-73.991875,40.754437,-73.97723,40.774323
11/27/2011,4,0,11,2,0,0,0,1,0.34,0.3636,0.81,0,9,22,31,4,0,6.5,0,0,0,0
7/23/2011,3,0,7,23,0,6,0,1,0.8,0.7727,0.59,0.1045,27,77,104,4,0.328874061,4.5,-73.988893,40.76016,-73.986445,40.757857
1/8/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,4,4.074741842,9.3,-73.989258,40.690835,-74.004133,40.72569
4/10/2011,2,0,4,8,0,0,0,2,0.38,0.3939,0.94,0.0896,17,38,55,4,0.808406858,4.5,-73.98102,40.73776,-73.980668,40.730497
2/1/2011,1,0,2,13,0,2,1,2,0.2,0.2576,0.86,0,3,49,52,4,0.872186982,5.5,-73.976075,40.752422,-73.981082,40.759285
7/6/2011,3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.194,66,175,241,4,6.705655792,22.54,-74.01048279,40.71766663,-73.98577118,40.66036606
12/11/2012,4,1,12,14,0,2,1,2,0.38,0.3939,0.5,0.2239,19,185,204,4,9.406247564,31.9,-73.873027,40.773883,-73.984545,40.769545
5/25/2012,2,1,5,18,0,5,1,1,0.76,0.7121,0.62,0.194,131,391,522,8,1.382022218,5.7,-73.976162,40.744988,-73.990002,40.738323
12/22/2012,1,1,12,11,0,6,0,1,0.28,0.2576,0.41,0.3582,29,130,159,4,7.15274751,18.1,-73.993717,40.740785,-73.999272,40.676617
3/25/2012,2,1,3,13,0,0,0,2,0.42,0.4242,0.88,0.1642,110,257,367,4,12.78606826,58,-73.98332977,40.73871994,-73.93319702,40.84722519
4/29/2012,2,1,4,22,0,0,0,1,0.5,0.4848,0.45,0,23,85,108,4,0.806952321,4.5,-73.99017334,40.75644684,-73.98561859,40.76282883
3/10/2011,1,0,3,7,0,4,1,3,0.38,0.3939,0,0.2239,1,36,37,4,0.952099632,5.3,-73.995199,40.75474,-74.005416,40.751084
7/6/2012,3,1,7,2,0,5,1,1,0.76,0.7121,0.62,0.1343,4,13,17,4,2.344538249,9,-73.95774,40.773617,-73.977087,40.758465
10/6/2012,4,1,10,8,0,6,0,1,0.56,0.5303,0.83,0.194,22,184,206,4,3.587116437,9.8,-73.972673,40.759186,-73.969897,40.791367
7/14/2011,3,0,7,23,0,4,1,1,0.64,0.6061,0.65,0.2537,27,97,124,4,1.644084012,8.1,-73.984267,40.744961,-73.981646,40.759608
5/19/2012,2,1,5,8,0,6,0,1,0.52,0.5,0.52,0.1642,33,162,195,4,5.015509814,10.9,-74.003899,40.725514,-73.976484,40.765537
2/15/2012,1,1,2,12,0,3,1,1,0.38,0.3939,0.46,0.3881,11,152,163,4,5.750063348,17.5,-73.97845,40.76292,-74.008482,40.716502
12/7/2011,4,0,12,20,0,3,1,3,0.34,0.2879,0.87,0.6418,1,25,26,4,5.458583507,12.1,-73.988558,40.7372,-73.958688,40.780748
6/12/2012,2,1,6,6,0,2,1,2,0.6,0.5455,0.88,0.1343,6,130,136,4,0.947333363,5.3,-73.997037,40.737095,-73.986128,40.735043
8/21/2012,3,1,8,4,0,2,1,1,0.56,0.5303,0.88,0,0,4,4,4,2.549415254,6.9,-73.971114,40.758944,-73.97793,40.736613
8/6/2012,3,1,8,18,0,1,1,1,0.82,0.7424,0.41,0.1343,100,743,843,8,0.993049379,4.5,-73.980822,40.74442,-73.991093,40.748797
12/5/2012,4,1,12,7,0,3,1,3,0.46,0.4545,0.59,0.2985,9,389,398,4,0.461998457,3.3,-73.988877,40.763577,-73.985573,40.760262
3/2/2011,1,0,3,2,0,3,1,1,0.22,0.2273,0.69,0.194,0,2,2,4,0.5505,3.3,-73.98666,40.756072,-73.989727,40.751702
9/4/2012,3,1,9,1,0,2,1,1,0.68,0.6364,0.82,0.1343,15,9,24,4,1.648400531,9,-73.992253,40.742657,-73.983597,40.755947
7/15/2012,3,1,7,4,0,0,0,2,0.68,0.6364,0.89,0.1045,8,11,19,4,2.500100209,9.7,-73.985582,40.739765,-73.973899,40.760426
5/18/2011,2,0,5,9,0,3,1,3,0.56,0.5303,0.83,0.2537,26,176,202,4,1.014030236,5.5,-73.952825,40.772048,-73.952194,40.781152
3/12/2011,1,0,3,4,0,6,0,1,0.24,0.2273,0.65,0.2537,0,1,1,4,2.285802518,8,-73.980298,40.783723,-73.979628,40.763179
10/23/2011,4,0,10,3,0,0,0,1,0.34,0.3636,0.87,0,15,31,46,4,0.207132956,7.5,-73.977708,40.746212,-73.975782,40.745055
9/22/2012,3,1,9,4,0,6,0,1,0.56,0.5303,0.83,0.2836,5,10,15,4,11.60741665,25.5,-73.974497,40.751603,-73.934927,40.851567
5/4/2011,2,0,5,6,0,3,1,3,0.34,0.303,0.93,0.3881,0,21,21,4,5.045606095,15.3,-73.97151,40.755886,-73.968067,40.801173
