fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance
4.5,-73.844311,40.721319,-73.84161,40.712278,1,1.031087515
16.9,-74.016048,40.711303,-73.979268,40.782004,1,8.452786283
5.7,-73.982738,40.76127,-73.991242,40.750562,2,1.389961429
7.7,-73.98713,40.733143,-73.991567,40.758092,1,2.800148994
5.3,-73.968095,40.768008,-73.956655,40.783762,1,1.999784368
12.1,-74.000964,40.73163,-73.972892,40.758233,1,3.788427984
7.5,-73.980002,40.751662,-73.973802,40.764842,1,1.556295062
16.5,-73.9513,40.774138,-73.990095,40.751048,1,4.156748779
9,-74.006462,40.726713,-73.993078,40.731628,1,1.25362493
8.9,-73.980658,40.733873,-73.99154,40.758138,2,2.850521358
5.3,-73.996335,40.737142,-73.980721,40.733559,1,1.37500851
5.5,0,0,0,0,3,0
4.1,-73.991601,40.744712,-73.983081,40.744682,2,0.717992811
7,-74.00536,40.728867,-74.008913,40.710907,1,2.020017757
7.7,-74.001821,40.737547,-73.99806,40.722788,2,1.671969302
5,0,0,0,0,1,0
12.5,-73.98643,40.760465,-73.98899,40.737075,1,2.610593761
5.3,-73.98106,40.73769,-73.994177,40.728412,1,1.512378868
5.3,-73.969505,40.784843,-73.958732,40.783357,1,0.92224114
4,-73.979815,40.751902,-73.979446,40.755481,1,0.399303882
10.5,-73.985382,40.747858,-73.978377,40.76207,1,1.687390874
11.5,-73.957954,40.779252,-73.96125,40.758787,1,2.293189458
4.5,-73.991707,40.770505,-73.985459,40.763671,1,0.92458589
4.9,-74.000632,40.747473,-73.986672,40.740577,1,1.404398913
6.1,-73.969622,40.756973,-73.981152,40.759712,1,1.01809259
7.3,-73.991875,40.754437,-73.97723,40.774323,3,2.532741532
6.5,0,0,0,0,1,0
4.5,-73.988893,40.76016,-73.986445,40.757857,3,0.328874061
9.3,-73.989258,40.690835,-74.004133,40.72569,1,4.074741842
4.5,-73.98102,40.73776,-73.980668,40.730497,2,0.808406858
5.5,-73.976075,40.752422,-73.981082,40.759285,1,0.872186982
22.54,-74.01048279,40.71766663,-73.98577118,40.66036606,1,6.705655792
31.9,-73.873027,40.773883,-73.984545,40.769545,3,9.406247564
5.7,-73.976162,40.744988,-73.990002,40.738323,2,1.382022218
18.1,-73.993717,40.740785,-73.999272,40.676617,1,7.15274751
58,-73.98332977,40.73871994,-73.93319702,40.84722519,1,12.78606826
4.5,-73.99017334,40.75644684,-73.98561859,40.76282883,1,0.806952321
5.3,-73.995199,40.75474,-74.005416,40.751084,1,0.952099632
9,-73.95774,40.773617,-73.977087,40.758465,6,2.344538249
9.8,-73.972673,40.759186,-73.969897,40.791367,1,3.587116437
8.1,-73.984267,40.744961,-73.981646,40.759608,1,1.644084012
10.9,-74.003899,40.725514,-73.976484,40.765537,2,5.015509814
17.5,-73.97845,40.76292,-74.008482,40.716502,1,5.750063348
12.1,-73.988558,40.7372,-73.958688,40.780748,1,5.458583507
5.3,-73.997037,40.737095,-73.986128,40.735043,1,0.947333363
6.9,-73.971114,40.758944,-73.97793,40.736613,1,2.549415254
4.5,-73.980822,40.74442,-73.991093,40.748797,1,0.993049379
3.3,-73.988877,40.763577,-73.985573,40.760262,1,0.461998457
3.3,-73.98666,40.756072,-73.989727,40.751702,5,0.5505
9,-73.992253,40.742657,-73.983597,40.755947,1,1.648400531
9.7,-73.985582,40.739765,-73.973899,40.760426,1,2.500100209
5.5,-73.952825,40.772048,-73.952194,40.781152,3,1.014030236
8,-73.980298,40.783723,-73.979628,40.763179,1,2.285802518
7.5,-73.977708,40.746212,-73.975782,40.745055,1,0.207132956
25.5,-73.974497,40.751603,-73.934927,40.851567,4,11.60741665
15.3,-73.97151,40.755886,-73.968067,40.801173,1,5.045606095
34.67,-73.985427,40.758853,-73.872907,40.774497,1,9.637378863
9.7,-73.979542,40.727498,-73.999315,40.730088,4,1.691394407
13.7,-74.002113,40.739582,-73.971918,40.791899,2,6.35089365
6.5,-73.98543,40.736011,-73.982501,40.724802,1,1.270983421
5,-73.996148,40.74189,-73.992202,40.739425,6,0.43100603
4.5,-74.009137,40.713436,-74.002823,40.723428,3,1.232301126
4.9,-74.003985,40.731677,-73.999765,40.723512,1,0.975368545
7,-73.966203,40.7675,-73.980915,40.77424,6,1.448412516
7.3,-74.003919,40.753019,-73.992368,40.735362,1,2.191980242
7.5,-74.004736,40.715882,-74.017723,40.705141,1,1.620600143
8.5,-73.991467,40.750575,-73.98575,40.741547,4,1.113768701
16.5,-73.970323,40.75084,-73.998392,40.724862,6,3.734380375
11.5,-73.97927856,40.72343826,-74.00460815,40.74694824,6,3.375772339
5,-73.95479584,40.77933502,-73.94493103,40.78008652,1,0.835068939
6.9,-73.995781,40.723411,-74.005004,40.71895,2,0.922344905
3.7,-74.00163,40.730767,-73.997112,40.737533,1,0.843435145
6.9,-73.955118,40.768942,-73.963495,40.761887,2,1.055380726
10.1,-73.977788,40.771838,-73.9662,40.778113,2,1.199956259
16.5,-73.9828,40.745287,-74.01425,40.702935,1,5.405568921
15.07,-73.961933,40.795585,-73.962253,40.764817,2,3.422425637
7.7,-73.996601,40.736569,-73.982152,40.744322,1,1.492137295
24.9,-74.006662,40.73121,-73.92594,40.825588,1,12.50709919
7,-73.988425,40.764342,-74.001642,40.745752,2,2.348577216
8.5,-73.994128,40.735087,-73.986393,40.751461,1,1.934413342
5.7,-73.97383,40.763717,-73.98942,40.771522,1,1.574326753
5,-74.01336,40.702272,-74.01699,40.709245,1,0.833816368
8.5,-73.95371,40.790813,-73.957015,40.777676,1,1.487501337
17,-74.009728,40.705167,-73.970897,40.749307,1,5.900731771
8,-73.950688,40.828531,-73.964101,40.80814,1,2.533577792
12,-73.995387,40.749482,-73.975789,40.748741,1,1.653480053
12.5,-73.917399,40.746485,-73.973756,40.763836,1,5.125703733
7.5,-73.990815,40.730495,-73.978337,40.751085,1,2.520110867
6.9,-74.007443,40.732547,-73.991112,40.742312,5,1.753323637
5,-73.98874664,40.74495316,-73.99568176,40.74422073,2,0.590078092
10.5,-74.001135,40.730979,-73.984424,40.76463,1,3.999122555
7.7,-73.968881,40.764533,-73.985311,40.748956,1,2.217729151
11,-73.98105621,40.77426529,-73.95904541,40.78067398,2,1.98626813
5.7,-73.992826,40.751271,-73.982786,40.742432,1,1.297074886
9,-73.946852,40.775802,-73.96434,40.760703,1,2.234033394
13.5,-73.950655,40.783282,-73.984365,40.769802,1,3.210969327
7.5,-73.976512,40.765277,-73.977672,40.778052,1,1.424316877
9,-73.984977,40.752122,-74.000925,40.757982,1,1.493479944
14,-73.9792099,40.7236824,-74.01746368,40.71139526,1,3.502624227
5.7,-73.983052,40.722588,-73.988022,40.733738,3,1.309056402
10,-74.002581,40.739572,-73.99458,40.760682,1,2.442934936
